label,field_name,section,max_count,required,accepted_values,example,definition
Product Type,feed_product_type,Basic,1,Required,Input an appropriate product type.,ConsumerElectronics,Within a category there are often multiple product types defined.  Selet a product type from the drop down on the template tab or the a value from the valid values tab.
Seller SKU,item_sku,Basic,1,Required,Unique Identifier.,101MyCollectible1,"A unique identifier for the product, assigned by the merchant.  The SKU must be unique for each product listed.  After you have established a SKU for a product, please do not change it without first deleting the original SKU from our systems through a delete feed."
Brand,brand_name,Basic,1,Required,An alphanumeric string; 1 character minimum in length and 50 characters maximum in length.,Lenovo,"The brand of the product.  By populating this field, your brand name will be displayed on the Amazon.com site. If you are not listing a branded product please populate ‘Generic’ in this field."
Update Delete,update_delete,Basic,1,Preferred,"Select one of the following options: Update, PartialUpdate, or Delete.","Update, PartialUpdate, Delete","Specifies the type of operation (Update, PartialUpdate or Delete) to be done on the data provided. If left blank, the default behavior is ""Update.""  

Use ""Update"" to reload all fields.  All fields are required when using update. When uploading an Update existing data will be overridden.

Use ""PartialUpdate""  when you want to update only a few specified fields in your file. Only include the SKU(s) and the fields you want to update.  

Use ""Delete"" when you wish to remove a product completely and permanently from the catalog."
GTIN Exemption Reason,gtin_exemption_reason,Basic,1,Optional,Reason for getting an exemption from having an unique identifier for an item.,"bundle, part,pre_order",Reason for getting an exemption from having an unique identifier for an item.
Product ID,external_product_id,Basic,1,Required,"Any valid GCID, UPC, or EAN.",5279173125000,"A standard, alphanumeric string that uniquely identifies the product. This could be a GCID (16 alphanumeric characters), UPC or EAN. This is a required field if product_id_type is provided."
Product ID Type,external_product_id_type,Basic,1,Required,"The type of standard, unique identifier entered in the Product ID field. This is a required field if Product ID is provided.",UPC,"The type of standard, unique identifier entered in the Product ID field. This is a required field if Product ID is provided."
Title,item_name,Basic,1,Required,"An alphanumeric string; 1 character minimum in length and 500 characters maximum in length. Note: Type 1 High ASCII characters (®, ©, ™, etc.) or other special characters are not supported.","Acme Z325L - 50"" Plasma TV","A short title for the product, including the colour and size if applicable. This will be displayed in bold on the product page and in the title bar of the browser window."
Manufacturer,manufacturer,Basic,1,Required,An alphanumeric string; 1 character minimum in length and 50 characters maximum in length.,Amcme International,Specify the manufacturer for your product.
Description,product_description,Basic,1,Optional,"A text string; 2,000 characters maximum in length. Note: Type 1 High ASCII characters (®, ©, ™, etc.) or other special characters are not supported.","For speed and versatility, look to the LG Super-Multi Drive. The GSA-4040B records data up to 4.7 GB per side on DVD media and writes in all kinds of formats: DVD+R/+RW, DVD-R/-RW, DVD-RAM and CD-R/-RW. This drive is suitable for any application…","A text description of the product. If you see #### signs where you should see the text, clear the format of the cell. This can be done by clicking Edit in main menu, select Clear & then Formats."
Item Type,item_type,Basic,1,Required,Select an item type value from the Browse Tree Guide.,Television,"This determines what browse node(s) the item will be assigned to.  Please consult the Browse Tree Guide for the best value(s) to use for your product.  If no values are provided, your product will not be browsable."
Mfr Part Number,part_number,Basic,1,Optional,An alphanumeric string; 1 character minimum in length and 40 characters maximum in length.,SB-122,"If applicable, please submit the manufacturer's part number for the product.  For most products, this will be identical to the model number; however, some manufacturers distinguish part number from model number."
Model Number,model,Basic,1,Optional,String of text with max of 50 characters,"AK3-AT1-GL-M-X, MC700LL/A","Indicate the model number of the product, as assigned by the manufacturer, here. Note that this should be distinct from Model Name and Manufacturer Part Number."
Model Name,model_name,Basic,1,Optional,"Specify the model name of the product as defined by the manufacturer or brand excluding item type, color, brand or size",MacBook Pro,
Your Price,standard_price,Basic,1,Required,Up to 18 digits. Commas and currency symbols cannot be used.,21000,Please always input a valid value (0 ~ 50) for standard_price_points_percent when you input or update standard_price
Quantity,quantity,Basic,1,Required,,,
Main Image URL,main_image_url,Basic,1,Required,"Images should have 72-pixels-per-inch resolution and be 500 pixels minimum in length (on the longest side). The preferred file format is JPEG (.jpg), and the URL must be fully-formed and valid (i.e., include http://). When naming your image, you may use the following convention (though not required): Product SKU + View Indicator (.main) + File Extension (.jpg). An example would be: ""15774.main.jpg"".  There cannot be any spaces or high ASCII characters in the image url.  Save the image to your Web server and supply the URL to the image in this field.  Accepted formats are .jpeg, .jpg, and .gif",http://www.companyname.com/images/1250.main.jpg,The URL where a main image of the product is located.  It's important that this is supplied for all products.
Other Image URL,other_image_url,Basic,8,,,,
Swatch Image URL,swatch_image_url,Basic,1,Optional,The URL where an image of a color swatch from the product is located,http://www.companyname.com/images/1250.swatch.jpg,The URL where an image of a color swatch from the product is located.
